,P,Exp P,Log P,Log Exp P
23553534,3.066417e-17,4.2312315579128026e-08,16.513,7.374
23553537,3.668964e-17,8.462463115825605e-08,16.435,7.073
23553533,3.741713000000001e-17,1.269369467373841e-07,16.427,6.896
23553685,1.279311e-14,1.692492623165121e-07,13.893,6.771
10915806,4.106772e-14,2.1156157789564014e-07,13.386,6.675
10915887,7.807715e-11,2.538738934747682e-07,10.107,6.595
10915315,9.096931e-11,2.961862090538962e-07,10.041,6.528
23553591,9.141046e-11,3.384985246330242e-07,10.039,6.47
23553590,9.168221e-11,3.808108402121523e-07,10.038,6.419
10915802,9.354943e-11,4.231231557912803e-07,10.029,6.374
23553603,1.111024e-10,4.654354713704083e-07,9.954,6.332
23553613,1.143847e-10,5.077477869495364e-07,9.942,6.294
23553607,1.254655e-10,5.500601025286643e-07,9.901,6.26
23553612,1.404279e-10,5.923724181077924e-07,9.853,6.227
23553605,1.461006e-10,6.346847336869205e-07,9.835,6.197
23553548,1.498637e-10,6.769970492660484e-07,9.824,6.169
23553617,1.557495e-10,7.193093648451765e-07,9.808,6.143
23553616,1.827451e-10,7.616216804243046e-07,9.738,6.118
23553609,1.952447e-10,8.039339960034325e-07,9.709,6.095
23553582,2.134603e-10,8.462463115825606e-07,9.671,6.073
23553549,2.142366e-10,8.885586271616886e-07,9.669,6.051
23553541,2.173185e-10,9.308709427408166e-07,9.663,6.031
23553551,2.182999e-10,9.731832583199446e-07,9.661,6.012
23553542,2.218442e-10,1.0154955738990727e-06,9.654,5.993
23553621,2.442678e-10,1.0578078894782007e-06,9.612,5.976
10915491,2.445296e-10,1.1001202050573287e-06,9.612,5.959
23553622,2.446856e-10,1.1424325206364568e-06,9.611,5.942
23553579,2.517623e-10,1.1847448362155848e-06,9.599,5.926
10915419,2.560544e-10,1.2270571517947127e-06,9.592,5.911
23553543,2.589668e-10,1.269369467373841e-06,9.587,5.896
23553574,2.602098e-10,1.3116817829529689e-06,9.585,5.882
23553559,2.71643e-10,1.3539940985320968e-06,9.566,5.868
23553562,2.749596e-10,1.396306414111225e-06,9.561,5.855
23553560,2.781096e-10,1.438618729690353e-06,9.556,5.842
23553628,2.973494e-10,1.480931045269481e-06,9.527,5.829
22705441,3.752479e-10,1.523243360848609e-06,9.426,5.817
23553642,4.341635e-10,1.565555676427737e-06,9.362,5.805
23553645,4.583534e-10,1.607867992006865e-06,9.339,5.794
23553631,4.695924e-10,1.6501803075859932e-06,9.328,5.782
23553626,4.94723e-10,1.6924926231651212e-06,9.306,5.771
23553629,5.005706e-10,1.7348049387442491e-06,9.301,5.761
23553648,5.0269e-10,1.7771172543233773e-06,9.299,5.75
23553634,5.035331e-10,1.8194295699025052e-06,9.298,5.74
23553678,5.054128e-10,1.8617418854816332e-06,9.296,5.73
23553637,5.169538e-10,1.9040542010607614e-06,9.287,5.72
23553638,5.194717e-10,1.946366516639889e-06,9.284,5.711
23553644,5.262302e-10,1.9886788322190173e-06,9.279,5.701
23553639,5.287331e-10,2.0309911477981455e-06,9.277,5.692
10915139,5.346736e-10,2.0733034633772732e-06,9.272,5.683
23553647,5.418353e-10,2.1156157789564014e-06,9.266,5.675
23553714,5.91261e-10,2.1579280945355296e-06,9.228,5.666
23553686,5.918843e-10,2.2002404101146573e-06,9.228,5.658
23553651,6.13207e-10,2.2425527256937855e-06,9.212,5.649
23553635,6.170127e-10,2.2848650412729137e-06,9.21,5.641
23553945,6.213537e-10,2.3271773568520414e-06,9.207,5.633
23553660,6.233709e-10,2.3694896724311696e-06,9.205,5.625
23553694,6.270413e-10,2.4118019880102977e-06,9.203,5.618
23553659,6.365831e-10,2.4541143035894255e-06,9.196,5.61
23553697,6.449311e-10,2.4964266191685537e-06,9.19,5.603
23553682,6.458287e-10,2.538738934747682e-06,9.19,5.595
23553696,6.482917e-10,2.5810512503268096e-06,9.188,5.588
23553690,6.775714e-10,2.6233635659059378e-06,9.169,5.581
23553712,6.788787e-10,2.665675881485066e-06,9.168,5.574
23553656,7.139521e-10,2.7079881970641937e-06,9.146,5.567
21059054,7.189192e-10,2.750300512643322e-06,9.143,5.561
23553743,7.332273e-10,2.79261282822245e-06,9.135,5.554
23553666,7.868624e-10,2.8349251438015778e-06,9.104,5.547
23553689,1.13674e-09,2.877237459380706e-06,8.944,5.541
23553782,1.139814e-09,2.919549774959834e-06,8.943,5.535
23553775,1.200712e-09,2.961862090538962e-06,8.921,5.528
23553835,1.263527e-09,3.00417440611809e-06,8.898,5.522
10915140,1.482074e-09,3.046486721697218e-06,8.829,5.516
14463342,1.684601e-09,3.088799037276346e-06,8.774,5.51
23553763,1.708784e-09,3.131111352855474e-06,8.767,5.504
22128677,1.850118e-09,3.1734236684346023e-06,8.733,5.498
22127156,1.870464e-09,3.21573598401373e-06,8.728,5.493
14464933,3.398265e-09,3.2580482995928582e-06,8.469,5.487
14464495,3.752809e-09,3.3003606151719864e-06,8.426,5.481
22128581,3.799481e-09,3.342672930751114e-06,8.42,5.476
14464808,4.071587e-09,3.3849852463302423e-06,8.39,5.47
22126291,4.11329e-09,3.4272975619093705e-06,8.386,5.465
22128953,4.239094e-09,3.4696098774884982e-06,8.373,5.46
14462720,4.285634e-09,3.5119221930676264e-06,8.368,5.454
22126930,4.323511e-09,3.5542345086467546e-06,8.364,5.449
22126717,4.680434e-09,3.5965468242258823e-06,8.33,5.444
22128555,4.862991e-09,3.6388591398050105e-06,8.313,5.439
10914854,5.348996e-09,3.6811714553841387e-06,8.272,5.434
23553723,5.867935e-09,3.7234837709632664e-06,8.232,5.429
23553894,6.055653e-09,3.7657960865423946e-06,8.218,5.424
10915277,6.498193e-09,3.8081084021215228e-06,8.187,5.419
22128409,7.397908e-09,3.8504207177006505e-06,8.131,5.414
7695306,8.375312e-09,3.892733033279778e-06,8.077,5.41
10915045,8.658575e-09,3.935045348858907e-06,8.063,5.405
22126372,1.138725e-08,3.977357664438035e-06,7.944,5.4
10915245,1.186068e-08,4.019669980017162e-06,7.926,5.396
10915009,1.210331e-08,4.061982295596291e-06,7.917,5.391
22128387,1.285297e-08,4.104294611175419e-06,7.891,5.387
10915164,1.397116e-08,4.1466069267545464e-06,7.855,5.382
22128323,1.409249e-08,4.188919242333675e-06,7.851,5.378
10915030,1.484763e-08,4.231231557912803e-06,7.828,5.374
22128378,1.578117e-08,4.2735438734919305e-06,7.802,5.369
23553663,1.830798e-08,4.315856189071059e-06,7.737,5.365
22127768,2.32278e-08,4.358168504650187e-06,7.634,5.361
23553983,2.488325e-08,4.400480820229315e-06,7.604,5.356
10915313,2.700716e-08,4.442793135808443e-06,7.569,5.352
10915258,2.867534e-08,4.485105451387571e-06,7.542,5.348
23554198,3.007748e-08,4.527417766966699e-06,7.522,5.344
10915162,3.078508e-08,4.569730082545827e-06,7.512,5.34
10915246,3.144826e-08,4.612042398124955e-06,7.502,5.336
10915379,3.501732e-08,4.654354713704083e-06,7.456,5.332
22128630,3.555995e-08,4.696667029283211e-06,7.449,5.328
10914921,3.636271e-08,4.738979344862339e-06,7.439,5.324
10915107,3.745829e-08,4.781291660441467e-06,7.426,5.32
10914906,3.775945e-08,4.8236039760205955e-06,7.423,5.317
23553568,3.789656e-08,4.865916291599723e-06,7.421,5.313
23554069,4.011652e-08,4.908228607178851e-06,7.397,5.309
22126481,4.501501e-08,4.95054092275798e-06,7.347,5.305
10914950,4.593812e-08,4.992853238337107e-06,7.338,5.302
