ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000237897	RP11-90H3.2	1	106433315	106434052	-1	pseudogene	NA	NA	NA	NA	1	1.268	0	NA	NA	NA	NA	8.385502e-06	rs147272171	1
ENSG00000232952	RP11-90H3.1	1	106434361	106436139	1	pseudogene	NA	NA	NA	NA	1	1.268	0	NA	NA	NA	NA	8.385502e-06	rs147272171	1
ENSG00000231599	LINC01037	1	187412738	187446354	1	lincRNA	NA	LINC01037	NA	NA	2	3.928	0	NA	NA	NA	NA	4.93872e-05	rs12121531	2
ENSG00000186197	EDARADD	1	236511562	236648214	1	protein_coding	128178	EDARADD	0.103567654975129	0.161265722	1	0.324	0	NA	NA	NA	NA	4.4899e-06	rs77568508	3
ENSG00000244457	ENO1P1	1	236646465	236647768	1	pseudogene	NA	ENO1P1	NA	NA	1	0.324	0	NA	NA	NA	NA	4.4899e-06	rs77568508	3
ENSG00000196539	OR2T3	1	248636627	248637634	1	protein_coding	343173	OR2T3	0.358715347130465	0.740775155	0	0	29	3.55229e-07	0.000882041	GTEx/v8/Cells_EBV-transformed_lymphocytes	+	2.763834e-05	rs61840339	4
ENSG00000229255	RP11-407H12.8	1	248647546	248648785	-1	antisense	NA	NA	NA	NA	0	0	53	1.4306e-17	5.31882e-17	GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Kidney_Cortex	+	3.956336e-06	rs61840339	4
ENSG00000188558	OR2G6	1	248684916	248685964	1	protein_coding	391211	OR2G6	0.0097517007736297	-0.176074557	0	0	8	1.36845e-06	0.00980372	GTEx/v8/Cells_EBV-transformed_lymphocytes	NA	NA	rs61840339	4
ENSG00000183310	OR2T34	1	248737022	248738080	-1	protein_coding	127068	OR2T34	0.746970217903766	0.723487525	0	0	7	6.72917e-06	7.3575e-05	GTEx/v8/Cells_EBV-transformed_lymphocytes	+	2.763834e-05	rs61840339	4
ENSG00000184022	OR2T10	1	248756052	248757100	-1	protein_coding	127069	OR2T10	0.000155748840698714	0.038117007	0	0	3	1.25735e-05	0.00224825	GTEx/v8/Cells_EBV-transformed_lymphocytes	-	0.000265609	rs61840339	4
ENSG00000187701	OR2T27	1	248813232	248814185	-1	protein_coding	403239	OR2T27	0.000134198174502552	-0.077639418	13	4.589	0	NA	NA	NA	NA	0.001198219	rs61840339	4
ENSG00000189181	OR14I1	1	248844628	248845629	-1	protein_coding	401994	OR14I1	2.99510561937582e-05	0.085725565	17	14.51	29	7.4388e-07	0.00141808	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	-	8.322316e-06	rs61840339	4
ENSG00000229703	XX-CR54.1	1	248855492	248862411	1	lincRNA	NA	NA	NA	NA	26	7.942	0	NA	NA	NA	NA	1.555554e-05	rs61840339	4
ENSG00000232694	XX-CR54.3	1	248881947	248885506	-1	lincRNA	646627	NA	NA	NA	12	8.769	0	NA	NA	NA	NA	3.956336e-06	rs61840339	4
ENSG00000242529	AHCYP8	1	248885294	248885502	-1	pseudogene	NA	AHCYP8	NA	NA	11	8.769	0	NA	NA	NA	NA	3.956336e-06	rs61840339	4
ENSG00000266949	LYPD8	1	248902716	248903150	-1	protein_coding	NA	LYPD8	NA	NA	10	7.39	0	NA	NA	NA	NA	3.956336e-06	rs61840339	4
ENSG00000229663	AL672296.1	1	249065834	249067991	-1	pseudogene	NA	NA	NA	NA	1	5.927	0	NA	NA	NA	NA	0.0006317361	rs61840339	4
ENSG00000175137	SH3BP5L	1	249104648	249120832	-1	protein_coding	80851	SH3BP5L	0.140999405772345	-0.945520515	0	0	5	8.78756e-08	8.59792e-13	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Tibial:GTEx/v8/Esophagus_Muscularis	-	0.0002860374	rs61840339	4
ENSG00000177994	C2orf73	2	54557171	54610879	1	protein_coding	129852	C2orf73	0.000860167631538041	0.504664492	2	2.052	0	NA	NA	NA	NA	2.258403e-06	rs114018234	5
ENSG00000233608	TWIST2	2	239756673	239795893	1	protein_coding	117581	TWIST2	0.443476734119021	NA	1	2.413	1	3.4026e-05	1.17327e-06	GTEx/v8/Esophagus_Muscularis	+	2.122376e-06	rs36146170	6
ENSG00000239991	RP11-889D3.1	3	55200938	55209760	-1	lincRNA	NA	NA	NA	NA	14	16.2	0	NA	NA	NA	NA	8.444785e-06	rs141318986	7
ENSG00000243572	RP11-889D3.2	3	55212200	55223242	1	lincRNA	NA	NA	NA	NA	8	8.643	0	NA	NA	NA	NA	8.444785e-06	rs141318986	7
ENSG00000154310	TNIK	3	170779128	171178197	-1	protein_coding	23043	TNIK	0.997185845677764	-0.359211724	1	10.91	0	NA	NA	NA	NA	5.67825e-06	rs17476416	8
ENSG00000250986	AC141928.1	4	3760475	3765117	-1	lincRNA	NA	NA	NA	NA	5	12.21	0	NA	NA	NA	NA	8.436999e-05	rs115045876	9
ENSG00000184160	ADRA2C	4	3768075	3770251	1	protein_coding	152	ADRA2C	0.645951820563209	NA	6	12.04	0	NA	NA	NA	NA	2.832744e-06	rs115045876	9
ENSG00000248912	RP11-171N4.4	4	157607816	157613788	1	lincRNA	NA	NA	NA	NA	1	3.112	0	NA	NA	NA	NA	0.0001349535	rs1425485	10
ENSG00000145431	PDGFC	4	157681606	157892546	-1	protein_coding	56034	PDGFC	0.969061048929965	-0.339264595	47	16.66	88	4.73985e-08	0.000120304	GTEx/v8/Adipose_Subcutaneous	-	8.099949e-06	rs1425485	10
ENSG00000248629	RP11-154F14.2	4	157762511	157763388	1	antisense	NA	NA	NA	NA	2	1.833	0	NA	NA	NA	NA	0.0002493425	rs1425485	10
ENSG00000164588	HCN1	5	45259349	45696253	-1	protein_coding	348980	HCN1	0.953138502832124	-1.227128421	1	0.424	0	NA	NA	NA	NA	NA	rs6892286	11
ENSG00000214360	EFCAB9	5	171621176	171630456	1	protein_coding	285588	EFCAB9	NA	-0.193456671	11	4.393	0	NA	NA	NA	NA	8.250058e-06	rs7731138	13
ENSG00000168246	UBTD2	5	171636644	171711075	-1	protein_coding	92181	UBTD2	0.748758501654584	0.489716427	11	4.393	9	4.20326e-08	3.57191e-09	GTEx/v8/Adipose_Subcutaneous	-	8.250058e-06	rs7731138	13
ENSG00000252476	SNORD112	6	137861537	137861608	1	snoRNA	NA	NA	NA	NA	2	0.774	0	NA	NA	NA	NA	1.772278e-06	rs78140768	14
ENSG00000213108	BTF3L4P3	6	137865034	137865509	-1	pseudogene	NA	BTF3L4P3	NA	NA	2	0.774	0	NA	NA	NA	NA	1.772278e-06	rs78140768	14
ENSG00000048052	HDAC9	7	18126572	19042039	1	protein_coding	9734	HDAC9	0.998375125074442	-0.115886844	3	14.57	0	NA	NA	NA	NA	2.177726e-06	rs10260515	15
