,P,Exp P,Log P,Log Exp P
19504623,1.181896e-08,5.109257903792061e-08,7.927,7.292
19504621,1.761372e-08,1.0218515807584121e-07,7.754,6.991
19504620,2.146881e-08,1.5327773711376182e-07,7.668,6.815
8984894,2.130037e-07,2.0437031615168243e-07,6.672,6.69
15259097,5.304215e-07,2.5546289518960304e-07,6.275,6.593
32723,5.787963e-07,3.0655547422752364e-07,6.237,6.513
6298485,1.128075e-06,3.5764805326544425e-07,5.948,6.447
15127982,1.203153e-06,4.0874063230336486e-07,5.92,6.389
19504749,1.517372e-06,4.5983321134128547e-07,5.819,6.337
2299377,1.640723e-06,5.109257903792061e-07,5.785,6.292
8246252,1.772278e-06,5.620183694171267e-07,5.751,6.25
19477107,1.934455e-06,6.131109484550473e-07,5.713,6.212
3125987,2.122376e-06,6.642035274929679e-07,5.673,6.178
16621428,2.153641e-06,7.152961065308885e-07,5.667,6.146
8685121,2.177726e-06,7.663886855688091e-07,5.662,6.116
5949581,2.239356e-06,8.174812646067297e-07,5.65,6.088
1967249,2.258403e-06,8.685738436446503e-07,5.646,6.061
15259001,2.355409e-06,9.196664226825709e-07,5.628,6.036
11818767,2.361961e-06,9.707590017204914e-07,5.627,6.013
8286663,2.549326e-06,1.0218515807584121e-06,5.594,5.991
8286680,2.6154e-06,1.0729441597963326e-06,5.582,5.969
14749626,2.826284e-06,1.1240367388342534e-06,5.549,5.949
4533180,2.832744e-06,1.1751293178721739e-06,5.548,5.93
3119193,2.853111e-06,1.2262218969100946e-06,5.545,5.911
18696800,2.88333e-06,1.277314475948015e-06,5.54,5.894
18696945,2.931416e-06,1.3284070549859358e-06,5.533,5.877
1103525,2.976416e-06,1.3794996340238563e-06,5.526,5.86
32995,3.402422e-06,1.430592213061777e-06,5.468,5.844
2299209,3.407793e-06,1.4816847920996975e-06,5.468,5.829
15259035,3.671967e-06,1.5327773711376182e-06,5.435,5.815
18517950,3.718178e-06,1.5838699501755387e-06,5.43,5.8
13447356,3.752609e-06,1.6349625292134594e-06,5.426,5.786
15258999,3.755322e-06,1.68605510825138e-06,5.425,5.773
12195912,3.783843e-06,1.7371476872893007e-06,5.422,5.76
18517947,3.832175e-06,1.7882402663272212e-06,5.417,5.748
6658594,3.925508e-06,1.8393328453651419e-06,5.406,5.735
1553271,3.956336e-06,1.8904254244030624e-06,5.403,5.723
18696806,3.980195e-06,1.941518003440983e-06,5.4,5.712
2299911,4.024117e-06,1.992610582478904e-06,5.395,5.701
6658602,4.119023e-06,2.0437031615168243e-06,5.385,5.69
2300119,4.201339e-06,2.094795740554745e-06,5.377,5.679
2300409,4.385757e-06,2.1458883195926653e-06,5.358,5.668
18517936,4.438865e-06,2.1969808986305862e-06,5.353,5.658
13448031,4.468945e-06,2.2480734776685067e-06,5.35,5.648
8041807,4.483459e-06,2.2991660567064272e-06,5.348,5.638
1453250,4.4899e-06,2.3502586357443477e-06,5.348,5.629
18508500,4.568497e-06,2.4013512147822687e-06,5.34,5.62
18696777,4.63265e-06,2.452443793820189e-06,5.334,5.61
3119212,4.715972e-06,2.5035363728581097e-06,5.326,5.601
19504651,4.876211e-06,2.55462895189603e-06,5.312,5.593
6658380,4.973829e-06,2.605721530933951e-06,5.303,5.584
18696781,5.030927e-06,2.6568141099718716e-06,5.298,5.576
8727222,5.130694e-06,2.707906689009792e-06,5.29,5.567
18508533,5.144359e-06,2.7589992680477126e-06,5.289,5.559
67387,5.173251e-06,2.8100918470856335e-06,5.286,5.551
18517918,5.229825e-06,2.861184426123554e-06,5.282,5.543
16947346,5.276418e-06,2.9122770051614745e-06,5.278,5.536
6658396,5.442489e-06,2.963369584199395e-06,5.264,5.528
6658400,5.451076e-06,3.014462163237316e-06,5.264,5.521
6658415,5.461914e-06,3.0655547422752364e-06,5.263,5.513
8727240,5.65221e-06,3.116647321313157e-06,5.248,5.506
67403,5.674065e-06,3.1677399003510774e-06,5.246,5.499
4314797,5.67825e-06,3.218832479388998e-06,5.246,5.492
6749968,5.87454e-06,3.269925058426919e-06,5.231,5.485
3664939,5.990289e-06,3.3210176374648394e-06,5.223,5.479
18696850,6.016067e-06,3.37211021650276e-06,5.221,5.472
3243094,6.04054e-06,3.4232027955406804e-06,5.219,5.466
3157358,6.101232e-06,3.4742953745786013e-06,5.215,5.459
15964357,6.226874e-06,3.525387953616522e-06,5.206,5.453
1533823,6.274764e-06,3.5764805326544423e-06,5.202,5.447
18696567,6.290636e-06,3.627573111692363e-06,5.201,5.44
18508590,6.297557e-06,3.6786656907302837e-06,5.201,5.434
15259106,6.345337e-06,3.7297582697682042e-06,5.198,5.428
18696560,6.418321e-06,3.7808508488061247e-06,5.193,5.422
18696677,6.473931e-06,3.831943427844045e-06,5.189,5.417
18798412,6.500746e-06,3.883036006881966e-06,5.187,5.411
15581474,6.691124e-06,3.934128585919886e-06,5.175,5.405
6655864,6.836198e-06,3.985221164957808e-06,5.165,5.4
1968279,6.998679e-06,4.036313743995728e-06,5.155,5.394
6011008,7.07567e-06,4.087406323033649e-06,5.15,5.389
4532501,7.482464e-06,4.138498902071569e-06,5.126,5.383
15162691,7.855164e-06,4.18959148110949e-06,5.105,5.378
5667398,8.099949e-06,4.24068406014741e-06,5.092,5.373
16947410,8.237319e-06,4.291776639185331e-06,5.084,5.367
7168537,8.250058e-06,4.342869218223251e-06,5.084,5.362
1553208,8.322316e-06,4.3939617972611724e-06,5.08,5.357
731022,8.385502e-06,4.445054376299093e-06,5.076,5.352
1963841,8.429956e-06,4.4961469553370134e-06,5.074,5.347
3543375,8.444785e-06,4.547239534374934e-06,5.073,5.342
19312545,8.484996e-06,4.5983321134128545e-06,5.071,5.337
10867799,8.647214e-06,4.649424692450775e-06,5.063,5.333
5949247,8.82851e-06,4.7005172714886955e-06,5.054,5.328
18884330,8.839099e-06,4.751609850526616e-06,5.054,5.323
19504887,8.935887e-06,4.802702429564537e-06,5.049,5.319
1968294,9.145917e-06,4.853795008602458e-06,5.039,5.314
6658483,9.154594e-06,4.904887587640378e-06,5.038,5.309
17433563,9.228552e-06,4.955980166678299e-06,5.035,5.305
19504670,9.504236e-06,5.007072745716219e-06,5.022,5.3
1967262,9.684377e-06,5.05816532475414e-06,5.014,5.296
16375403,9.687924e-06,5.10925790379206e-06,5.014,5.292
3119203,9.733582e-06,5.160350482829981e-06,5.012,5.287
67384,9.756675e-06,5.211443061867902e-06,5.011,5.283
6750101,9.781713e-06,5.262535640905823e-06,5.01,5.279
18796963,9.782063e-06,5.313628219943743e-06,5.01,5.275
18696563,9.782532e-06,5.364720798981664e-06,5.01,5.27
1553209,9.792358e-06,5.415813378019584e-06,5.009,5.266
67388,9.794443e-06,5.466905957057505e-06,5.009,5.262
19504669,9.80957e-06,5.517998536095425e-06,5.008,5.258
15663145,9.924125e-06,5.569091115133346e-06,5.003,5.254
19504861,9.980097e-06,5.620183694171267e-06,5.001,5.25
6658242,1.007282e-05,5.6712762732091875e-06,4.997,5.246
18798260,1.011712e-05,5.722368852247108e-06,4.995,5.242
2300660,1.022414e-05,5.7734614312850285e-06,4.99,5.239
1553218,1.042151e-05,5.824554010322949e-06,4.982,5.235
11169968,1.053261e-05,5.8756465893608695e-06,4.977,5.231
19504634,1.05966e-05,5.92673916839879e-06,4.975,5.227
5667406,1.093272e-05,5.9778317474367105e-06,4.961,5.223
1971319,1.105236e-05,6.028924326474632e-06,4.957,5.22
1882063,1.110233e-05,6.080016905512552e-06,4.955,5.216
9825764,1.118159e-05,6.131109484550473e-06,4.951,5.212
19504683,1.124236e-05,6.182202063588393e-06,4.949,5.209
1553141,1.129502e-05,6.233294642626314e-06,4.947,5.205
1575298,1.136188e-05,6.284387221664234e-06,4.945,5.202
8685123,1.138907e-05,6.335479800702155e-06,4.944,5.198
1969181,1.15069e-05,6.386572379740075e-06,4.939,5.195
8673573,1.179897e-05,6.437664958777996e-06,4.928,5.191
6932409,1.191176e-05,6.488757537815917e-06,4.924,5.188
18838014,1.209638e-05,6.539850116853838e-06,4.917,5.184
1968545,1.21907e-05,6.590942695891758e-06,4.914,5.181
6655565,1.225781e-05,6.642035274929679e-06,4.912,5.178
12410131,1.233726e-05,6.693127853967599e-06,4.909,5.174
10402822,1.265038e-05,6.74422043300552e-06,4.898,5.171
10841726,1.276198e-05,6.79531301204344e-06,4.894,5.168
6933157,1.278489e-05,6.846405591081361e-06,4.893,5.165
6465022,1.280807e-05,6.897498170119282e-06,4.893,5.161
1553292,1.290318e-05,6.948590749157203e-06,4.889,5.158
19504613,1.291246e-05,6.999683328195123e-06,4.889,5.155
1103527,1.294684e-05,7.050775907233044e-06,4.888,5.152
18522384,1.298502e-05,7.101868486270964e-06,4.887,5.149
1103553,1.303228e-05,7.152961065308885e-06,4.885,5.146
19504682,1.30568e-05,7.204053644346805e-06,4.884,5.142
1553142,1.318523e-05,7.255146223384726e-06,4.88,5.139
12410067,1.330336e-05,7.306238802422647e-06,4.876,5.136
18508920,1.338631e-05,7.3573313814605675e-06,4.873,5.133
9706875,1.348623e-05,7.408423960498488e-06,4.87,5.13
19504689,1.349821e-05,7.4595165395364085e-06,4.87,5.127
19504688,1.352221e-05,7.510609118574329e-06,4.869,5.124
2300809,1.354418e-05,7.5617016976122495e-06,4.868,5.121
1553309,1.361487e-05,7.61279427665017e-06,4.866,5.118
9901120,1.369437e-05,7.66388685568809e-06,4.863,5.116
16445101,1.376799e-05,7.714979434726012e-06,4.861,5.113
19504699,1.380838e-05,7.766072013763931e-06,4.86,5.11
2300792,1.386607e-05,7.817164592801853e-06,4.858,5.107
5649339,1.38907e-05,7.868257171839772e-06,4.857,5.104
1881954,1.39233e-05,7.919349750877694e-06,4.856,5.101
15663176,1.395835e-05,7.970442329915615e-06,4.855,5.099
6750014,1.396812e-05,8.021534908953535e-06,4.855,5.096
16375383,1.399484e-05,8.072627487991456e-06,4.854,5.093
18800009,1.402463e-05,8.123720067029376e-06,4.853,5.09
15663206,1.405192e-05,8.174812646067297e-06,4.852,5.088
2300815,1.408086e-05,8.225905225105217e-06,4.851,5.085
19504692,1.416743e-05,8.276997804143138e-06,4.849,5.082
1533167,1.430508e-05,8.32809038318106e-06,4.845,5.079
6654693,1.431085e-05,8.37918296221898e-06,4.844,5.077
8152827,1.433518e-05,8.4302755412569e-06,4.844,5.074
4028574,1.438877e-05,8.48136812029482e-06,4.842,5.072
7608990,1.480812e-05,8.532460699332742e-06,4.83,5.069
1965228,1.482834e-05,8.583553278370661e-06,4.829,5.066
14295087,1.48749e-05,8.634645857408583e-06,4.828,5.064
19504680,1.494067e-05,8.685738436446502e-06,4.826,5.061
1533810,1.494294e-05,8.736831015484424e-06,4.826,5.059
19504644,1.540009e-05,8.787923594522345e-06,4.812,5.056
1553107,1.555554e-05,8.839016173560265e-06,4.808,5.054
11822376,1.556424e-05,8.890108752598186e-06,4.808,5.051
19504663,1.566779e-05,8.941201331636106e-06,4.805,5.049
15280263,1.568178e-05,8.992293910674027e-06,4.805,5.046
19504637,1.5702e-05,9.043386489711947e-06,4.804,5.044
14627928,1.580628e-05,9.094479068749868e-06,4.801,5.041
19504647,1.584344e-05,9.14557164778779e-06,4.8,5.039
3349790,1.585135e-05,9.196664226825709e-06,4.8,5.036
1103608,1.596233e-05,9.24775680586363e-06,4.797,5.034
4532520,1.602708e-05,9.29884938490155e-06,4.795,5.032
8937982,1.622385e-05,9.349941963939471e-06,4.79,5.029
10902449,1.627858e-05,9.401034542977391e-06,4.788,5.027
18838067,1.638511e-05,9.452127122015312e-06,4.786,5.024
1610294,1.64177e-05,9.503219701053232e-06,4.785,5.022
19271305,1.651708e-05,9.554312280091153e-06,4.782,5.02
19504685,1.663966e-05,9.605404859129075e-06,4.779,5.017
19504627,1.665446e-05,9.656497438166994e-06,4.778,5.015
2079399,1.669078e-05,9.707590017204916e-06,4.778,5.013
10546255,1.671617e-05,9.758682596242835e-06,4.777,5.011
8508523,1.681546e-05,9.809775175280757e-06,4.774,5.008
2988372,1.687987e-05,9.860867754318676e-06,4.773,5.006
5649378,1.694398e-05,9.911960333356598e-06,4.771,5.004
18838412,1.700368e-05,9.963052912394517e-06,4.769,5.002
15752971,1.705673e-05,1.0014145491432439e-05,4.768,4.999
4173208,1.71086e-05,1.006523807047036e-05,4.767,4.997
19504635,1.713649e-05,1.011633064950828e-05,4.766,4.995
11631073,1.720007e-05,1.0167423228546201e-05,4.764,4.993
1609607,1.727413e-05,1.021851580758412e-05,4.763,4.991
10546286,1.738278e-05,1.0269608386622042e-05,4.76,4.988
19504661,1.738716e-05,1.0320700965659962e-05,4.76,4.986
7168549,1.748561e-05,1.0371793544697883e-05,4.757,4.984
19504628,1.767128e-05,1.0422886123735804e-05,4.753,4.982
7537604,1.768341e-05,1.0473978702773724e-05,4.752,4.98
19217604,1.774642e-05,1.0525071281811645e-05,4.751,4.978
5667482,1.780749e-05,1.0576163860849565e-05,4.749,4.976
8727249,1.788615e-05,1.0627256439887486e-05,4.747,4.974
7765593,1.79919e-05,1.0678349018925406e-05,4.745,4.971
17597387,1.810082e-05,1.0729441597963327e-05,4.742,4.969
2302062,1.825041e-05,1.0780534177001247e-05,4.739,4.967
2302150,1.82772e-05,1.0831626756039168e-05,4.738,4.965
19504656,1.828379e-05,1.088271933507709e-05,4.738,4.963
1103542,1.830218e-05,1.093381191411501e-05,4.737,4.961
1553106,1.833475e-05,1.098490449315293e-05,4.737,4.959
11631081,1.834733e-05,1.103599707219085e-05,4.736,4.957
19504629,1.840606e-05,1.1087089651228772e-05,4.735,4.955
14066854,1.845452e-05,1.1138182230266691e-05,4.734,4.953
17268294,1.852329e-05,1.1189274809304613e-05,4.732,4.951
7609383,1.862174e-05,1.1240367388342534e-05,4.73,4.949
82373,1.869722e-05,1.1291459967380454e-05,4.728,4.947
11631056,1.878099e-05,1.1342552546418375e-05,4.726,4.945
19504691,1.891716e-05,1.1393645125456295e-05,4.723,4.943
2301964,1.89179e-05,1.1444737704494216e-05,4.723,4.941
19504645,1.898377e-05,1.1495830283532136e-05,4.722,4.939
7168546,1.911778e-05,1.1546922862570057e-05,4.719,4.938
19504696,1.923921e-05,1.1598015441607977e-05,4.716,4.936
13503174,1.932666e-05,1.1649108020645898e-05,4.714,4.934
8940711,1.937231e-05,1.170020059968382e-05,4.713,4.932
3875510,1.959459e-05,1.1751293178721739e-05,4.708,4.93
7118002,1.971114e-05,1.180238575775966e-05,4.705,4.928
8727208,1.978641e-05,1.185347833679758e-05,4.704,4.926
4940093,1.984734e-05,1.1904570915835501e-05,4.702,4.924
2988390,1.986229e-05,1.1955663494873421e-05,4.702,4.922
15259113,1.997458e-05,1.2006756073911342e-05,4.7,4.921
18517989,2.010125e-05,1.2057848652949264e-05,4.697,4.919
8235300,2.010259e-05,1.2108941231987183e-05,4.697,4.917
8041758,2.011468e-05,1.2160033811025105e-05,4.696,4.915
8685122,2.030246e-05,1.2211126390063024e-05,4.692,4.913
881480,2.048749e-05,1.2262218969100946e-05,4.689,4.911
13874224,2.049825e-05,1.2313311548138865e-05,4.688,4.91
6307438,2.054965e-05,1.2364404127176787e-05,4.687,4.908
12095651,2.063583e-05,1.2415496706214706e-05,4.685,4.906
960831,2.072355e-05,1.2466589285252628e-05,4.684,4.904
19504695,2.079581e-05,1.2517681864290549e-05,4.682,4.902
13874225,2.081521e-05,1.2568774443328469e-05,4.682,4.901
9706938,2.100419e-05,1.261986702236639e-05,4.678,4.899
886022,2.107586e-05,1.267095960140431e-05,4.676,4.897
5667526,2.128862e-05,1.2722052180442231e-05,4.672,4.895
8018398,2.129988e-05,1.277314475948015e-05,4.672,4.894
13503198,2.148929e-05,1.2824237338518072e-05,4.668,4.892
5609054,2.151419e-05,1.2875329917555992e-05,4.667,4.89
1186943,2.162633e-05,1.2926422496593913e-05,4.665,4.889
3051540,2.170227e-05,1.2977515075631834e-05,4.663,4.887
6021106,2.170683e-05,1.3028607654669754e-05,4.663,4.885
11631024,2.181844e-05,1.3079700233707675e-05,4.661,4.883
470801,2.183341e-05,1.3130792812745595e-05,4.661,4.882
13144836,2.195667e-05,1.3181885391783516e-05,4.658,4.88
12095572,2.20837e-05,1.3232977970821436e-05,4.656,4.878
11104567,2.210437e-05,1.3284070549859357e-05,4.656,4.877
661782,2.212302e-05,1.3335163128897279e-05,4.655,4.875
11631051,2.212763e-05,1.3386255707935198e-05,4.655,4.873
3121269,2.212794e-05,1.343734828697312e-05,4.655,4.872
2300216,2.215091e-05,1.348844086601104e-05,4.655,4.87
2187171,2.222366e-05,1.353953344504896e-05,4.653,4.868
17756823,2.223543e-05,1.359062602408688e-05,4.653,4.867
11631047,2.225245e-05,1.3641718603124802e-05,4.653,4.865
11631037,2.225245e-05,1.3692811182162722e-05,4.653,4.864
18243124,2.227571e-05,1.3743903761200643e-05,4.652,4.862
15258966,2.252558e-05,1.3794996340238564e-05,4.647,4.86
16375390,2.25259e-05,1.3846088919276484e-05,4.647,4.859
11631044,2.255327e-05,1.3897181498314405e-05,4.647,4.857
17757678,2.261713e-05,1.3948274077352325e-05,4.646,4.855
17757864,2.273579e-05,1.3999366656390246e-05,4.643,4.854
5667370,2.273678e-05,1.4050459235428166e-05,4.643,4.852
2301861,2.281261e-05,1.4101551814466087e-05,4.642,4.851
11819068,2.301498e-05,1.4152644393504009e-05,4.638,4.849
8727218,2.310705e-05,1.4203736972541928e-05,4.636,4.848
11631079,2.313164e-05,1.425482955157985e-05,4.636,4.846
8915499,2.323957e-05,1.430592213061777e-05,4.634,4.844
8685103,2.329432e-05,1.435701470965569e-05,4.633,4.843
3543441,2.334167e-05,1.440810728869361e-05,4.632,4.841
11631070,2.335636e-05,1.4459199867731532e-05,4.632,4.84
960662,2.348927e-05,1.4510292446769451e-05,4.629,4.838
11631058,2.353221e-05,1.4561385025807373e-05,4.628,4.837
960611,2.353614e-05,1.4612477604845294e-05,4.628,4.835
13933554,2.354509e-05,1.4663570183883214e-05,4.628,4.834
470648,2.358973e-05,1.4714662762921135e-05,4.627,4.832
5667569,2.359549e-05,1.4765755341959055e-05,4.627,4.831
8031832,2.361074e-05,1.4816847920996976e-05,4.627,4.829
18517955,2.368557e-05,1.4867940500034896e-05,4.626,4.828
3595344,2.369689e-05,1.4919033079072817e-05,4.625,4.826
5321162,2.382159e-05,1.4970125658110738e-05,4.623,4.825
13567006,2.392218e-05,1.5021218237148658e-05,4.621,4.823
19504713,2.417791e-05,1.507231081618658e-05,4.617,4.822
19504971,2.421342e-05,1.5123403395224499e-05,4.616,4.82
8216896,2.434543e-05,1.517449597426242e-05,4.614,4.819
3051569,2.436634e-05,1.522558855330034e-05,4.613,4.817
9906615,2.439728e-05,1.527668113233826e-05,4.613,4.816
8216912,2.447571e-05,1.532777371137618e-05,4.611,4.815
16326114,2.459408e-05,1.5378866290414102e-05,4.609,4.813
8031840,2.469032e-05,1.5429958869452024e-05,4.607,4.812
5205102,2.477611e-05,1.5481051448489945e-05,4.606,4.81
1971549,2.482827e-05,1.5532144027527863e-05,4.605,4.809
1101630,2.510868e-05,1.5583236606565784e-05,4.6,4.807
8216918,2.5145e-05,1.5634329185603706e-05,4.6,4.806
1257285,2.516661e-05,1.5685421764641627e-05,4.599,4.805
6251838,2.523857e-05,1.5736514343679545e-05,4.598,4.803
1969246,2.52711e-05,1.5787606922717466e-05,4.597,4.802
1969248,2.527525e-05,1.5838699501755388e-05,4.597,4.8
12095372,2.595502e-05,1.588979208079331e-05,4.586,4.799
8235341,2.605246e-05,1.594088465983123e-05,4.584,4.797
16220561,2.611226e-05,1.5991977238869148e-05,4.583,4.796
7049509,2.625189e-05,1.604306981790707e-05,4.581,4.795
19258177,2.625952e-05,1.609416239694499e-05,4.581,4.793
12095550,2.63374e-05,1.6145254975982912e-05,4.579,4.792
1102850,2.633976e-05,1.619634755502083e-05,4.579,4.791
12095551,2.635043e-05,1.624744013405875e-05,4.579,4.789
2691800,2.649057e-05,1.6298532713096673e-05,4.577,4.788
12095622,2.650516e-05,1.6349625292134594e-05,4.577,4.786
7608514,2.665519e-05,1.6400717871172516e-05,4.574,4.785
7742072,2.691155e-05,1.6451810450210434e-05,4.57,4.784
1470894,2.697485e-05,1.6502903029248355e-05,4.569,4.782
470254,2.697993e-05,1.6553995608286276e-05,4.569,4.781
13144838,2.725976e-05,1.6605088187324198e-05,4.564,4.78
6329166,2.734533e-05,1.665618076636212e-05,4.563,4.778
8685027,2.75209e-05,1.6707273345400037e-05,4.56,4.777
1553249,2.763834e-05,1.675836592443796e-05,4.558,4.776
8031958,2.792791e-05,1.680945850347588e-05,4.554,4.774
82435,2.79311e-05,1.68605510825138e-05,4.554,4.773
8915493,2.801561e-05,1.691164366155172e-05,4.553,4.772
13933556,2.80578e-05,1.696273624058964e-05,4.552,4.771
7032194,2.819736e-05,1.7013828819627562e-05,4.55,4.769
13933551,2.829808e-05,1.7064921398665483e-05,4.548,4.768
5934952,2.839605e-05,1.7116013977703404e-05,4.547,4.767
1610259,2.842595e-05,1.7167106556741322e-05,4.546,4.765
17757386,2.843004e-05,1.7218199135779244e-05,4.546,4.764
8031767,2.843633e-05,1.7269291714817165e-05,4.546,4.763
1185615,2.851367e-05,1.7320384293855086e-05,4.545,4.761
15790045,2.85403e-05,1.7371476872893004e-05,4.545,4.76
11630977,2.870793e-05,1.7422569451930926e-05,4.542,4.759
18386577,2.876589e-05,1.7473662030968847e-05,4.541,4.758
18386526,2.878395e-05,1.752475461000677e-05,4.541,4.756
1333585,2.879713e-05,1.757584718904469e-05,4.541,4.755
1964256,2.880226e-05,1.7626939768082608e-05,4.541,4.754
11630993,2.888963e-05,1.767803234712053e-05,4.539,4.753
11937962,2.893486e-05,1.772912492615845e-05,4.539,4.751
8216876,2.898505e-05,1.7780217505196372e-05,4.538,4.75
2078816,2.91065e-05,1.783131008423429e-05,4.536,4.749
4418785,2.915453e-05,1.788240266327221e-05,4.535,4.748
2300423,2.927311e-05,1.7933495242310132e-05,4.534,4.746
1553196,2.937479e-05,1.7984587821348054e-05,4.532,4.745
15790086,2.947211e-05,1.8035680400385975e-05,4.531,4.744
18517819,2.951404e-05,1.8086772979423893e-05,4.53,4.743
12944584,2.954393e-05,1.8137865558461814e-05,4.53,4.741
4418789,2.958576e-05,1.8188958137499736e-05,4.529,4.74
8216894,2.966064e-05,1.8240050716537657e-05,4.528,4.739
1963977,2.969426e-05,1.829114329557558e-05,4.527,4.738
17756930,2.969987e-05,1.8342235874613496e-05,4.527,4.737
19504716,2.974356e-05,1.8393328453651418e-05,4.527,4.735
8673583,2.980014e-05,1.844442103268934e-05,4.526,4.734
12478023,2.997069e-05,1.849551361172726e-05,4.523,4.733
12478022,3.004695e-05,1.854660619076518e-05,4.522,4.732
8235391,3.017815e-05,1.85976987698031e-05,4.52,4.731
8217387,3.019097e-05,1.864879134884102e-05,4.52,4.729
7078082,3.025507e-05,1.8699883927878943e-05,4.519,4.728
11779365,3.025837e-05,1.8750976506916864e-05,4.519,4.727
4845511,3.030806e-05,1.8802069085954782e-05,4.518,4.726
8520198,3.032399e-05,1.8853161664992703e-05,4.518,4.725
19505195,3.036922e-05,1.8904254244030625e-05,4.518,4.723
8751998,3.045983e-05,1.8955346823068546e-05,4.516,4.722
8285779,3.054743e-05,1.9006439402106464e-05,4.515,4.721
12194636,3.090309e-05,1.9057531981144385e-05,4.51,4.72
13090863,3.092617e-05,1.9108624560182307e-05,4.51,4.719
5667678,3.109274e-05,1.9159717139220228e-05,4.507,4.718
4418743,3.109487e-05,1.921080971825815e-05,4.507,4.716
13763229,3.136962e-05,1.9261902297296067e-05,4.503,4.715
19504800,3.140667e-05,1.931299487633399e-05,4.503,4.714
1969863,3.140853e-05,1.936408745537191e-05,4.503,4.713
5447263,3.145058e-05,1.941518003440983e-05,4.502,4.712
19504718,3.148901e-05,1.946627261344775e-05,4.502,4.711
1965139,3.162868e-05,1.951736519248567e-05,4.5,4.71
8235447,3.166756e-05,1.9568457771523592e-05,4.499,4.708
19504828,3.167916e-05,1.9619550350561513e-05,4.499,4.707
15950295,3.172605e-05,1.9670642929599435e-05,4.499,4.706
3595440,3.173291e-05,1.9721735508637353e-05,4.498,4.705
6931532,3.181658e-05,1.9772828087675274e-05,4.497,4.704
7168555,3.185914e-05,1.9823920666713195e-05,4.497,4.703
13144814,3.195394e-05,1.9875013245751117e-05,4.495,4.702
8937963,3.205571e-05,1.9926105824789035e-05,4.494,4.701
6324425,3.206393e-05,1.9977198403826956e-05,4.494,4.699
82412,3.207399e-05,2.0028290982864877e-05,4.494,4.698
15678750,3.210103e-05,2.00793835619028e-05,4.493,4.697
1964323,3.216235e-05,2.013047614094072e-05,4.493,4.696
14934014,3.22226e-05,2.0181568719978638e-05,4.492,4.695
8202034,3.253937e-05,2.023266129901656e-05,4.488,4.694
19504708,3.256891e-05,2.028375387805448e-05,4.487,4.693
19504709,3.268033e-05,2.0334846457092402e-05,4.486,4.692
5667618,3.269096e-05,2.0385939036130323e-05,4.486,4.691
8216868,3.269237e-05,2.043703161516824e-05,4.486,4.69
8165465,3.269902e-05,2.0488124194206163e-05,4.485,4.688
8235339,3.274346e-05,2.0539216773244084e-05,4.485,4.687
8235335,3.275141e-05,2.0590309352282005e-05,4.485,4.686
16312841,3.282293e-05,2.0641401931319923e-05,4.484,4.685
19504710,3.29301e-05,2.0692494510357845e-05,4.482,4.684
16312844,3.293091e-05,2.0743587089395766e-05,4.482,4.683
8031863,3.295763e-05,2.0794679668433687e-05,4.482,4.682
19504715,3.297917e-05,2.084577224747161e-05,4.482,4.681
724272,3.29846e-05,2.0896864826509527e-05,4.482,4.68
12095482,3.300251e-05,2.0947957405547448e-05,4.481,4.679
469831,3.309827e-05,2.099904998458537e-05,4.48,4.678
10722965,3.310021e-05,2.105014256362329e-05,4.48,4.677
8816689,3.319383e-05,2.110123514266121e-05,4.479,4.676
13763622,3.323476e-05,2.115232772169913e-05,4.478,4.675
17547763,3.323519e-05,2.120342030073705e-05,4.478,4.674
14983482,3.327904e-05,2.1254512879774973e-05,4.478,4.673
