,P,Exp P,Log P,Log Exp P
17241070,5.63e-10,5.779933204779912e-08,9.249,7.238
17241071,5.83e-10,1.1559866409559824e-07,9.234,6.937
17241073,9.68e-10,1.7339799614339737e-07,9.014,6.761
17241188,4.34e-09,2.3119732819119649e-07,8.363,6.636
7973604,1.91e-07,2.889966602389956e-07,6.719,6.539
7973545,2.05e-07,3.4679599228679474e-07,6.688,6.46
5670880,2.9e-07,4.045953243345939e-07,6.538,6.393
5772876,3.61e-07,4.6239465638239297e-07,6.442,6.335
7973357,3.82e-07,5.201939884301921e-07,6.418,6.284
7973308,4.04e-07,5.779933204779912e-07,6.394,6.238
7973141,4.16e-07,6.357926525257903e-07,6.381,6.197
16194148,4.22e-07,6.935919845735895e-07,6.375,6.159
5772790,5.54e-07,7.513913166213886e-07,6.256,6.124
16193547,5.71e-07,8.091906486691878e-07,6.243,6.092
1187672,6.21e-07,8.669899807169868e-07,6.207,6.062
13891708,6.77e-07,9.247893127647859e-07,6.169,6.034
8655736,8.01e-07,9.825886448125852e-07,6.096,6.008
4118343,8.32e-07,1.0403879768603841e-06,6.08,5.983
3404685,8.65e-07,1.0981873089081833e-06,6.063,5.959
4118527,8.72e-07,1.1559866409559824e-06,6.059,5.937
4118666,9.98e-07,1.2137859730037815e-06,6.001,5.916
3405093,1.11e-06,1.2715853050515807e-06,5.955,5.896
16195178,1.13e-06,1.3293846370993798e-06,5.947,5.876
4118623,1.15e-06,1.387183969147179e-06,5.939,5.858
2790533,1.16e-06,1.4449833011949781e-06,5.936,5.84
16195082,1.19e-06,1.5027826332427773e-06,5.924,5.823
16195100,1.2e-06,1.5605819652905764e-06,5.921,5.807
4118606,1.21e-06,1.6183812973383755e-06,5.917,5.791
15107044,1.23e-06,1.6761806293861745e-06,5.91,5.776
8082322,1.28e-06,1.7339799614339736e-06,5.893,5.761
3404948,1.34e-06,1.7917792934817728e-06,5.873,5.747
5493652,1.37e-06,1.8495786255295719e-06,5.863,5.733
3401014,1.42e-06,1.9073779575773712e-06,5.848,5.72
11503502,1.42e-06,1.9651772896251704e-06,5.848,5.707
5772760,1.43e-06,2.022976621672969e-06,5.845,5.694
5772708,1.45e-06,2.0807759537207682e-06,5.839,5.682
5772677,1.46e-06,2.1385752857685674e-06,5.836,5.67
4118447,1.56e-06,2.1963746178163665e-06,5.807,5.658
4118434,1.64e-06,2.2541739498641657e-06,5.785,5.647
7973060,1.73e-06,2.311973281911965e-06,5.762,5.636
5271930,1.73e-06,2.369772613959764e-06,5.762,5.625
12560685,1.78e-06,2.427571946007563e-06,5.75,5.615
4179820,2.02e-06,2.4853712780553622e-06,5.695,5.605
13890973,2.11e-06,2.5431706101031614e-06,5.676,5.595
12517300,2.13e-06,2.6009699421509605e-06,5.672,5.585
10523758,2.55e-06,2.6587692741987597e-06,5.593,5.575
16195140,2.61e-06,2.716568606246559e-06,5.583,5.566
4118315,2.64e-06,2.774367938294358e-06,5.578,5.557
10379707,2.74e-06,2.832167270342157e-06,5.562,5.548
14538291,2.85e-06,2.8899666023899562e-06,5.545,5.539
14893200,2.87e-06,2.9477659344377554e-06,5.542,5.531
3404315,2.88e-06,3.0055652664855545e-06,5.541,5.522
