,P,Exp P,Log P,Log Exp P
18554500,4.4e-09,5.370423627071339e-08,8.357,7.27
18554498,9.9e-09,1.0740847254142678e-07,8.004,6.969
18554497,1.14e-08,1.6111270881214016e-07,7.943,6.793
17770330,1.23e-07,2.1481694508285356e-07,6.91,6.668
17770474,1.29e-07,2.685211813535669e-07,6.889,6.571
4660054,1.41e-07,3.222254176242803e-07,6.851,6.492
17770379,1.51e-07,3.759296538949937e-07,6.821,6.425
17770336,2.04e-07,4.296338901657071e-07,6.69,6.367
17770307,2.3e-07,4.833381264364205e-07,6.638,6.316
17770311,2.42e-07,5.370423627071339e-07,6.616,6.27
17770100,3.02e-07,5.907465989778473e-07,6.52,6.229
17770093,3.08e-07,6.444508352485606e-07,6.511,6.191
17770209,3.47e-07,6.981550715192741e-07,6.46,6.156
1489564,3.53e-07,7.518593077899874e-07,6.452,6.124
4005133,3.88e-07,8.055635440607008e-07,6.411,6.094
17770096,5.32e-07,8.592677803314142e-07,6.274,6.066
2820323,5.46e-07,9.129720166021276e-07,6.263,6.04
4005796,5.64e-07,9.66676252872841e-07,6.249,6.015
4660230,7.39e-07,1.0203804891435544e-06,6.131,5.991
4005152,8.3e-07,1.0740847254142677e-06,6.081,5.969
8043568,8.58e-07,1.1277889616849813e-06,6.067,5.948
15514993,9.16e-07,1.1814931979556946e-06,6.038,5.928
2129951,9.17e-07,1.235197434226408e-06,6.038,5.908
4660220,1.04e-06,1.2889016704971213e-06,5.983,5.89
4660221,1.05e-06,1.3426059067678346e-06,5.979,5.872
4660118,1.07e-06,1.3963101430385482e-06,5.971,5.855
10053525,1.11e-06,1.4500143793092615e-06,5.955,5.839
1488916,1.12e-06,1.5037186155799749e-06,5.951,5.823
13816117,1.13e-06,1.5574228518506882e-06,5.947,5.808
31920,1.15e-06,1.6111270881214016e-06,5.939,5.793
4660294,1.15e-06,1.6648313243921151e-06,5.939,5.779
18320511,1.16e-06,1.7185355606628284e-06,5.936,5.765
1489551,1.2e-06,1.7722397969335418e-06,5.921,5.751
18320515,1.21e-06,1.8259440332042551e-06,5.917,5.739
4659935,1.24e-06,1.8796482694749687e-06,5.907,5.726
3009227,1.31e-06,1.933352505745682e-06,5.883,5.714
4660218,1.31e-06,1.987056742016395e-06,5.883,5.702
11086881,1.33e-06,2.0407609782871087e-06,5.876,5.69
4660067,1.39e-06,2.0944652145578223e-06,5.857,5.679
4660203,1.41e-06,2.1481694508285354e-06,5.851,5.668
4660057,1.42e-06,2.201873687099249e-06,5.848,5.657
4660281,1.42e-06,2.2555779233699625e-06,5.848,5.647
4660272,1.44e-06,2.3092821596406756e-06,5.842,5.637
3272809,1.47e-06,2.362986395911389e-06,5.833,5.627
11355027,1.54e-06,2.4166906321821023e-06,5.812,5.617
18320528,1.72e-06,2.470394868452816e-06,5.764,5.607
17587517,1.76e-06,2.5240991047235294e-06,5.754,5.598
5369568,1.78e-06,2.5778033409942426e-06,5.75,5.589
18320547,1.92e-06,2.631507577264956e-06,5.717,5.58
4660348,1.96e-06,2.6852118135356693e-06,5.708,5.571
6453503,2.12e-06,2.738916049806383e-06,5.674,5.562
16070654,2.18e-06,2.7926202860770964e-06,5.662,5.554
7616306,2.23e-06,2.8463245223478095e-06,5.652,5.546
15514973,2.28e-06,2.900028758618523e-06,5.642,5.538
18368346,2.39e-06,2.953732994889236e-06,5.622,5.53
11355274,2.41e-06,3.0074372311599497e-06,5.618,5.522
11355181,2.42e-06,3.0611414674306633e-06,5.616,5.514
11355182,2.43e-06,3.1148457037013764e-06,5.614,5.507
15115756,2.58e-06,3.16854993997209e-06,5.588,5.499
11355248,2.59e-06,3.222254176242803e-06,5.587,5.492
7573613,2.65e-06,3.2759584125135167e-06,5.577,5.485
11355202,2.66e-06,3.3296626487842302e-06,5.575,5.478
11355121,2.66e-06,3.3833668850549433e-06,5.575,5.471
11355119,2.66e-06,3.437071121325657e-06,5.575,5.464
4895692,2.91e-06,3.49077535759637e-06,5.536,5.457
7538074,2.93e-06,3.5444795938670836e-06,5.533,5.45
1855611,3.06e-06,3.598183830137797e-06,5.514,5.444
5109288,3.25e-06,3.6518880664085103e-06,5.488,5.437
9851356,3.42e-06,3.705592302679224e-06,5.466,5.431
11660216,3.46e-06,3.7592965389499374e-06,5.461,5.425
18554547,3.48e-06,3.8130007752206505e-06,5.458,5.419
15514980,3.54e-06,3.866705011491364e-06,5.451,5.413
4659831,3.55e-06,3.920409247762077e-06,5.45,5.407
709888,3.6e-06,3.97411348403279e-06,5.444,5.401
9851325,3.64e-06,4.027817720303504e-06,5.439,5.395
